node,coord0,coord1,aggregate
214,-0.264754,-0.339302,77
215,-0.1875,-0.577065,73
216,0.014754,-0.43012,93
217,0.163627,-0.118882,87
218,0.240881,-0.356647,22
219,0.490882,-0.356647,83
220,0.413627,-0.118882,171
221,0.663627,0.118882,45
222,0.913627,0.118882,147
223,0.990882,0.356647,49
224,0.740882,0.356647,45
225,0.818137,0.594411,155
226,1.06814,0.594411,134
227,1.14539,0.832175,134
228,0.895392,0.832175,155
229,0.318136,0.594411,57
230,0.568136,0.594411,128
231,0.645391,0.832175,184
232,0.39539,0.832175,141
233,0.0920082,0.667884,23
234,0.169263,0.905648,186
235,-0.0329915,1.05259,157
236,-0.110246,0.81483,0
237,-0.3125,0.961776,20
238,-0.235246,1.19954,173
239,-0.4375,1.34649,129
240,-0.514754,1.10872,4
241,-0.467008,0.486248,64
242,-0.389754,0.724011,64
243,-0.592008,0.870956,4
244,-0.669263,0.633193,55
245,-0.606762,0.293893,172
246,-0.809016,0.440839,55
247,-1.01127,0.293893,88
248,-0.809015,0.146946,33
249,-1.01127,0.0000001875,94
250,-1.21352,0.146947,156
251,-1.41578,0.0000001875,166
252,-1.21352,-0.146946,187
253,-0.606762,-0.293893,74
254,-0.809015,-0.146946,101
255,-1.01127,-0.293892,188
256,-0.809016,-0.440839,154
257,-0.467008,-0.486248,110
258,-0.669263,-0.633193,160
259,-0.592008,-0.870956,117
260,-0.389754,-0.724011,86
261,-0.3125,-0.961775,120
262,-0.514754,-1.10872,191
263,-0.4375,-1.34648,123
264,-0.235246,-1.19954,96
265,0.0920082,-0.667884,153
266,-0.110246,-0.81483,68
267,-0.0329915,-1.05259,112
268,0.169263,-0.905648,159
269,0.318136,-0.594411,39
270,0.39539,-0.832175,122
271,0.645391,-0.832175,162
272,0.568136,-0.594411,24
273,0.818137,-0.594411,58
274,0.895392,-0.832175,177
275,1.14539,-0.832175,167
276,1.06814,-0.594411,131
277,0.663627,-0.118882,109
278,0.740882,-0.356647,19
279,0.990882,-0.356647,178
280,0.913627,-0.118882,197
281,0.0625,0,115
282,0.144314,0.0594411,67
283,0.101127,0.118882,38
284,0.0193135,0.0594411,18
285,0.1875,0,170
286,0.269314,0.0594411,62
287,0.226127,0.118882,170
288,0.307941,0.178323,62
289,0.264754,0.237764,170
290,0.182941,0.178323,67
291,0.139754,0.237764,38
292,0.0579405,0.178323,18
293,0.3125,0,145
294,0.394314,0.0594411,113
295,0.351127,0.118882,62
296,0.4375,0,82
297,0.519314,0.0594411,82
298,0.476127,0.118882,113
299,0.557941,0.178323,42
300,0.514754,0.237764,113
301,0.432941,0.178323,113
302,0.389754,0.237764,145
303,0.471568,0.297206,56
304,0.428381,0.356647,145
305,0.346568,0.297206,62
306,0.596568,0.297206,42
307,0.553382,0.356647,43
308,0.635195,0.416088,42
309,0.592009,0.475529,43
310,0.510195,0.416088,56
311,0.467009,0.475529,41
312,0.385195,0.416088,127
313,0.221568,0.297206,67
314,0.178381,0.356647,38
315,0.0965675,0.297206,18
316,0.303381,0.356647,40
317,0.342008,0.475529,40
318,0.260195,0.416088,57
319,0.217008,0.475529,135
320,0.135194,0.416088,169
321,-0.0119365,0.155619,143
322,-0.0818135,0.132914,31
323,-0.0505635,0.0367366,143
324,0.0266905,0.274501,168
325,-0.0431865,0.251797,181
326,-0.0744365,0.347974,1
327,-0.144313,0.32527,71
328,-0.113063,0.229092,1
329,-0.182941,0.206388,71
330,-0.151691,0.11021,70
331,0.0653175,0.393383,168
332,-0.0045595,0.370679,181
333,0.103945,0.512266,168
334,0.0340675,0.489561,181
335,0.0028175,0.585738,130
336,-0.0670595,0.563034,3
337,-0.0358095,0.466856,1
338,-0.105687,0.444152,3
339,-0.136937,0.540329,26
340,-0.206813,0.517625,137
341,-0.175563,0.421447,26
342,-0.0983095,0.659212,8
343,-0.168187,0.636507,0
344,-0.199437,0.732684,7
345,-0.269313,0.70998,14
346,-0.238063,0.613802,25
347,-0.30794,0.591098,14
348,-0.276691,0.49492,25
349,-0.214191,0.302565,26
350,-0.284068,0.279861,137
351,-0.252818,0.183683,26
352,-0.245441,0.398743,137
353,-0.346568,0.472216,142
354,-0.315318,0.376038,25
355,-0.385194,0.353334,142
356,-0.353944,0.257156,25
